"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R12,R11,R10,R13,R3";"R_0805_2012Metric";6;"10k";;;
2;"R17,R15,R19";"R_0805_2012Metric";3;"100";;;
3;"C5,C2,C6";"C_1206_3216Metric";3;"10uF";;;
4;"U1";"DIP-28_W7.62mm_Socket";1;"ATmega328-P";;;
5;"R1,R8";"R_1206_3216Metric";2;"3.3k";;;
6;"J2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Conn_01x02_Pin";;;
7;"R2";"R_1206_3216Metric";1;"1M";;;
8;"IC1";"SOIC8-FLASH";1;"W25Q80DVSSIG";;;
9;"R14,R16,R18";"R_1206_3216Metric";3;"200";;;
10;"R4,R5";"R_0603_1608Metric";2;"20k";;;
11;"J1";"PinSocket_1x02_P1.27mm_Vertical";1;"Conn_01x02_Pin";;;
12;"U3";"DIP-8_W7.62mm";1;"LP2951-3.3_DIP";;;
13;"U2";"DIP-8_W7.62mm_LongPads";1;"TL082";;;
14;"C1,C3";"C_1206_3216Metric";2;"100nF";;;
15;"J3";"PinSocket_1x09_P1.27mm_Vertical";1;"Conn_01x09_Pin";;;
16;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
17;"R6,R7";"R_0805_2012Metric";2;"1k";;;
18;"C4";"C_0805_2012Metric";1;"500pF";;;
